id,book_id,best_book_id,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count
19,34,34,3204327,566,618346252,9780618346260,J.R.R. Tolkien,1954, The Fellowship of the Ring,"The Fellowship of the Ring (The Lord of the Rings, #1)",eng,4.34,1766803,1832541,15333
20,7260188,7260188,8812783,239,439023513,9780439023510,Suzanne Collins,2010,Mockingjay,"Mockingjay (The Hunger Games, #3)",eng,4.03,1719760,1870748,96274
21,2,2,2809203,307,439358078,9780439358070,"J.K. Rowling, Mary GrandPré",2003,Harry Potter and the Order of the Phoenix,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",eng,4.46,1735368,1840548,28685
22,12232938,12232938,1145090,183,316166685,9780316166680,Alice Sebold,2002,The Lovely Bones,The Lovely Bones,eng,3.77,1605173,1661562,36642
23,15881,15881,6231171,398,439064864,9780439064870,"J.K. Rowling, Mary GrandPré",1998,Harry Potter and the Chamber of Secrets,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",eng,4.37,1779331,1906199,34172
24,6,6,3046572,332,439139600,9780439139600,"J.K. Rowling, Mary GrandPré",2000,Harry Potter and the Goblet of Fire,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",eng,4.53,1753043,1868642,31084
25,136251,136251,2963218,263,545010225,9780545010220,"J.K. Rowling, Mary GrandPré",2007,Harry Potter and the Deathly Hallows,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",eng,4.61,1746574,1847395,51942
26,968,968,2982101,350,307277674,9780307277670,Dan Brown,2003,The Da Vinci Code,"The Da Vinci Code (Robert Langdon, #2)",eng,3.79,1447148,1557292,41560
27,1,1,41335427,275,439785960,9780439785970,"J.K. Rowling, Mary GrandPré",2005,Harry Potter and the Half-Blood Prince,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",eng,4.54,1678823,1785676,27520
28,7624,7624,2766512,458,140283331,9780140283330,William Golding,1954,Lord of the Flies ,Lord of the Flies,eng,3.64,1605019,1671484,26886
29,18135,18135,3349450,1937,743477111,9780743477120,"William Shakespeare, Robert           Jackson",1595,An Excellent conceited Tragedie of Romeo and Juliet,Romeo and Juliet,eng,3.73,1628519,1672889,14778
30,8442457,19288043,13306276,196,297859382,9780297859380,Gillian Flynn,2012,Gone Girl,Gone Girl,eng,4.03,512475,1626519,121614
31,4667024,4667024,4717423,183,399155341,9780399155340,Kathryn Stockett,2009,The Help,The Help,eng,4.45,1531753,1603545,78204
32,890,890,40283,373,142000671,9780142000670,John Steinbeck,1937,Of Mice and Men ,Of Mice and Men,eng,3.84,1467496,1518741,24642
33,930,929,1558965,220,739326228,9780739326220,Arthur Golden,1997,Memoirs of a Geisha,Memoirs of a Geisha,eng,4.08,1300209,1418172,25605
34,10818853,10818853,15732562,169,1612130291,9781612130290,E.L. James,2011,Fifty Shades of Grey,"Fifty Shades of Grey (Fifty Shades, #1)",eng,3.67,1338493,1436818,75437
35,865,865,4835472,458,61122416,9780061122420,"Paulo Coelho, Alan R. Clarke",1988,O Alquimista,The Alchemist,eng,3.82,1299566,1403995,55781
36,3636,3636,2543234,192,385732554,9780385732550,Lois Lowry,1993,The Giver,"The Giver (The Giver, #1)",eng,4.12,1296825,1345445,54084
37,100915,100915,4790821,474,60764899,9780060764890,C.S. Lewis,1950,"The Lion, the Witch and the Wardrobe","The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",eng,4.19,1531800,1584884,15186
38,14050,18619684,2153746,167,965818675,9780965818670,Audrey Niffenegger,2003,The Time Traveler's Wife,The Time Traveler's Wife,eng,3.95,746287,1308667,43382
39,13496,13496,1466917,101,553588486,9780553588480,George R.R. Martin,1996,A Game of Thrones,"A Game of Thrones (A Song of Ice and Fire, #1)",eng,4.45,1319204,1442220,46205
40,19501,19501,3352398,185,143038419,9780143038410,Elizabeth Gilbert,2006,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia","Eat, Pray, Love",eng,3.51,1181647,1206597,49714
41,28187,28187,3346751,159,786838655,9780786838650,Rick Riordan,2005,The Lightning Thief,"The Lightning Thief (Percy Jackson and the Olympians, #1)",eng,4.23,1366265,1411114,46006
42,1934,1934,3244642,1707,451529308,9780451529300,Louisa May Alcott,1868,Little Women,"Little Women (Little Women, #1)",en-US,4.04,1257121,1314293,17090
43,10210,10210,2977639,2568,142437204,9780142437210,"Charlotte Brontë, Michael Mason",1847,Jane Eyre,Jane Eyre,eng,4.1,1198557,1286135,31212
44,15931,15931,1498135,190,553816713,9780553816720,Nicholas Sparks,1996,The Notebook,"The Notebook (The Notebook, #1)",eng,4.06,1053403,1076749,17279
45,4214,4214,1392700,264,770430074,9780770430080,Yann Martel,2001,Life of Pi,Life of Pi,,3.88,1003228,1077431,42962
46,43641,43641,3441236,128,1565125606,9781565125600,Sara Gruen,2006,Water for Elephants,Water for Elephants,eng,4.07,1068146,1108839,55732
47,19063,19063,878368,251,375831002,9780375831000,Markus Zusak,2005,The Book Thief,The Book Thief,eng,4.36,1159741,1287798,93611
48,4381,4381,1272463,507,307347974,9780307347980,Ray Bradbury,1953,Fahrenheit 451,Fahrenheit 451,spa,3.97,570498,1176240,30694
49,49041,49041,3203964,194,316160199,9780316160190,Stephenie Meyer,2006,"New Moon (Twilight, #2)","New Moon (Twilight, #2)",eng,3.52,1149630,1199000,44020
50,30119,30119,30518,45,60513039,9780060513030,Shel Silverstein,1974,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,Where the Sidewalk Ends,eng,4.29,1016888,1023781,9234
51,256683,256683,2267189,178,1416914285,9781416914280,Cassandra Clare,2007,City of Bones,"City of Bones (The Mortal Instruments, #1)",eng,4.12,1154031,1241799,51589
52,428263,428263,2675454,185,316160202,9780316160210,Stephenie Meyer,2007,Eclipse,"Eclipse (Twilight, #3)",en-US,3.69,1134511,1176642,35216
53,113436,113436,3178011,217,375826696,9780375826700,Christopher Paolini,2002,Eragon,"Eragon (The Inheritance Cycle, #1)",en-US,3.86,1104021,1125231,18280
54,11,386162,3078186,257,345391802,9780345391800,Douglas Adams,1979,The Hitchhiker's Guide to the Galaxy,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",en-US,4.2,936782,1006479,20345
55,5129,5129,3204877,515,60929871,9780060929880,Aldous Huxley,1932,Brave New World,Brave New World,eng,3.97,1022601,1079135,20095
56,1162543,1162543,2960529,183,031606792X,9780316067930,Stephenie Meyer,2008,Breaking Dawn,"Breaking Dawn (Twilight, #4)",en-US,3.7,1070245,1107709,44550
57,37435,37435,3275013,125,142001740,9780142001740,Sue Monk Kidd,2001,The Secret Life of Bees,The Secret Life of Bees,en-US,4.01,916189,937393,26522
58,2956,2956,1835605,2277,142437174,9780142437180,"Mark Twain, John Seelye, Guy Cardwell",1884,The Adventures of Huckleberry Finn,The Adventures of Huckleberry Finn,eng,3.8,953758,1001491,12448
59,24178,24178,987048,180,64410935,9780064410940,"E.B. White, Garth Williams, Rosemary Wells",1952,Charlotte's Web,Charlotte's Web,eng,4.15,1064521,1084842,13044
60,1618,1618,4259809,183,1400032717,9781400032720,Mark Haddon,2003,The Curious Incident of the Dog in the Night-Time,The Curious Incident of the Dog in the Night-Time,eng,3.85,867553,915790,35796
61,22557272,22557272,41107568,14,1594633665,9781594633670,Paula Hawkins,2015,The Girl on the Train,The Girl on the Train,eng,3.88,1008778,1226485,93600
62,119322,119322,1536771,287,679879242,9780679879240,Philip Pullman,1995,Northern Lights,"The Golden Compass (His Dark Materials, #1)",eng,3.94,953970,994914,14915
63,6185,6185,1565818,2498,393978893,9780393978900,"Emily Brontë, Richard J. Dunn",1847,Wuthering Heights,Wuthering Heights,eng,3.82,899195,1001135,26157
64,10917,10917,1639903,125,743454537,9780743454540,Jodi Picoult,2004,My Sister's Keeper,My Sister's Keeper,eng,4.06,863879,887880,30719
65,4981,4981,1683562,241,385333846,9780385333850,Kurt Vonnegut Jr.,1969,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",Slaughterhouse-Five,eng,4.06,846488,891762,19646
66,18405,18405,3358283,409,446675539,9780446675540,Margaret Mitchell,1936,Gone with the Wind,Gone with the Wind,eng,4.28,873981,897303,16050
67,128029,128029,3271379,197,1594489505,9781594489500,Khaled Hosseini,2007,A Thousand Splendid Suns,A Thousand Splendid Suns,eng,4.34,818742,866065,43645
68,22628,22628,2236198,128,671027344,9780671027350,Stephen Chbosky,1999,The Perks of Being a Wallflower,The Perks of Being a Wallflower,eng,4.21,888806,954905,47116
69,11735983,11735983,15524542,164,7442912,9780007442910,Veronica Roth,2012,Insurgent,"Insurgent (Divergent, #2)",eng,4.07,836362,947338,55873
70,375802,375802,2422333,224,812550706,9780812550700,Orson Scott Card,1985,Ender's Game,"Ender's Game (Ender's Saga, #1)",eng,4.3,813439,873417,38054
71,18490,18490,4836639,2618,141439475,9780141439470,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818,"Frankenstein; or, The Modern Prometheus",Frankenstein,eng,3.75,808589,883563,19993
72,11588,11588,849585,289,450040186,9780450040180,Stephen King,1977,The Shining,The Shining (The Shining #1),eng,4.17,791850,830881,14936
73,1656001,1656001,3328799,161,316068047,9780316068050,Stephenie Meyer,2008,The Host,"The Host (The Host, #1)",en-US,3.84,749780,777560,39778
74,99561,99561,919292,187,142402516,9780142402510,John Green,2005,Looking for Alaska,Looking for Alaska,eng,4.09,783470,831285,47128
75,227443,227443,3185154,193,014028009X,9780140280100,Helen Fielding,1996,,"Bridget Jones's Diary (Bridget Jones, #1)",eng,3.75,736498,754498,8157
76,14935,14935,2809709,1969,141439661,9780141439660,"Jane Austen, Tony Tanner, Ros Ballaster",1811,Sense and Sensibility,Sense and Sensibility,eng,4.06,738894,779382,11526
77,38709,38709,1679789,138,439244196,9780439244190,"Louis Sachar, Louis Sachar",1998,Holes,"Holes (Holes, #1)",eng,3.93,747445,764637,15832
78,5139,5139,38765,129,307275558,9780307275550,Lauren Weisberger,2003,The Devil Wears Prada,"The Devil Wears Prada (The Devil Wears Prada, #1)",eng,3.7,665930,679845,8024
79,1381,1381,3356006,1703,143039954,9780143039950,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720,Ὀδύσσεια,The Odyssey,eng,3.73,670326,710757,8101
80,157993,157993,2180358,1708,156012197,9780156012200,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946,Le Petit Prince,The Little Prince,eng,4.28,738757,859286,24537
81,7445,7445,2944133,92,074324754X,9780743247540,Jeannette Walls,2005,The Glass Castle,The Glass Castle,eng,4.24,621099,637866,40777
82,1845,1845,3284484,108,385486804,9780385486800,Jon Krakauer,1996,Into the Wild,Into the Wild,eng,3.94,647684,665377,17299
83,1953,1953,2956372,525,141439602,9780141439600,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859,A Tale of Two Cities,A Tale of Two Cities,eng,3.81,637412,677713,13093
84,7677,6424171,3376836,176,030734813X,9780307348140,Michael Crichton,1990,Jurassic Park,"Jurassic Park (Jurassic Park, #1)",spa,3.96,447833,650483,8143
85,370493,370493,30530,81,60256656,9780060256650,Shel Silverstein,1964,The Giving Tree,The Giving Tree,eng,4.38,702332,708287,14368
86,32542,32542,1804929,158,385338600,9780385338610,John Grisham,1989,A Time to Kill,A Time to Kill,eng,4.03,597775,608824,4239
87,1617,1617,265616,109,374500010,9780374500020,"Elie Wiesel, Marion Wiesel",1958,Un di Velt Hot Geshvign,Night (The Night Trilogy #1),eng,4.3,691231,707879,22001
88,6442769,6442769,3364505,178,014241493X,9780142414930,John Green,2008,Paper Towns,Paper Towns,en-US,3.88,461311,655271,42717
89,21787,21787,992628,129,345418263,9780345418260,William Goldman,1973,The Princess Bride,The Princess Bride ,en-US,4.25,628637,658042,15630
90,231804,231804,1426690,156,014038572X,9780140385720,S.E. Hinton,1967,The Outsiders,The Outsiders,en-US,4.06,659248,680437,22662
91,6186357,6186357,6366642,147,385737947,9780385737940,James Dashner,2009,The Maze Runner,"The Maze Runner (Maze Runner, #1)",eng,4.02,719925,777956,48942
92,1202,1202,5397,124,61234001,9780061234000,"Steven D. Levitt, Stephen J. Dubner",2005,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",en-US,3.93,524191,549301,13668
93,2998,2998,3186437,1350,517189607,9780517189600,Frances Hodgson Burnett,1911,The Secret Garden,The Secret Garden,eng,4.12,639357,692249,13054
94,320,320,3295655,555,60531045,9780060531040,"Gabriel García Márquez, Gregory Rabassa",1967,Cien años de soledad,One Hundred Years of Solitude,eng,4.04,490565,575667,21671
95,5297,5297,1858012,2303,375751513,9780375751520,"Oscar Wilde, Jeffrey Eugenides",1891,The Picture of Dorian Gray,The Picture of Dorian Gray,eng,4.06,590014,674551,19647
96,13536860,13536860,18034963,133,345803507,9780345803500,E.L. James,2012,Fifty Shades Freed,"Fifty Shades Freed (Fifty Shades, #3)",eng,3.88,387290,610116,25287
97,17245,17245,3165724,2207,393970124,9780393970130,"Bram Stoker, Nina Auerbach, David J. Skal",1897,Dracula,Dracula,eng,3.98,618973,689739,17263
98,5060378,5060378,6976108,209,307269981,9780307269980,"Stieg Larsson, Reg Keeland",2006,Flickan som lekte med elden,"The Girl Who Played with Fire (Millennium, #2)",eng,4.22,563994,649253,31423
99,11857408,11857408,16813814,147,1612130585,9781612130580,E.L. James,2011,Fifty Shades Darker,"Fifty Shades Darker (Fifty Shades, #2)",eng,3.87,552059,623340,28052
100,7244,7244,810663,39,60786507,9780060786500,Barbara Kingsolver,1998,The Poisonwood Bible,The Poisonwood Bible,eng,4.02,546502,562787,19941
101,4137,4137,1030767,59,349113912,9780349113910,David Sedaris,2000,Me Talk Pretty One Day,Me Talk Pretty One Day,eng,3.97,495736,514276,14982
102,19543,19543,3020535,110,99408392,9780099408390,Maurice Sendak,1963,Where the Wild Things Are,Where the Wild Things Are,eng,4.22,620618,636061,9102
103,7126,7126,391568,1310,140449264,9780140449270,"Alexandre Dumas, Robin Buss",1844,Le Comte de Monte-Cristo,The Count of Monte Cristo,eng,4.21,555822,601220,15925
104,6288,6288,3355573,181,307265439,9780307265430,Cormac McCarthy,2006,The Road,The Road,eng,3.95,504793,555787,38980
105,18710190,18710190,15524549,153,7524277,9780007524270,Veronica Roth,2013,Allegiant,"Allegiant (Divergent, #3)",eng,3.63,463257,663226,62536
106,9418327,9418327,14302659,48,,,Tina Fey,2011,Bossypants,Bossypants,eng,3.94,506250,609260,35142
107,3473,3473,3143497,131,446693804,9780446693810,Nicholas Sparks,1999,A Walk to Remember,A Walk to Remember,en-US,4.15,546948,559581,11071
108,9416,9416,3237433,144,440241413,9780440241420,Sophie Kinsella,2000,Confessions of a Shopaholic,"Confessions of a Shopaholic (Shopaholic, #1)",eng,3.61,543658,558004,11170
109,24280,24280,3208463,1319,451525264,9780451525260,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862,Les Misérables,Les Misérables,eng,4.14,513407,560132,12505
110,10572,10572,3272005,202,553381695,9780553381700,George R.R. Martin,1998,A Clash of Kings,"A Clash of Kings  (A Song of Ice and Fire, #2)",eng,4.4,523303,606765,20325
111,10441,10441,2868431,98,143037145,9780143037150,Kim Edwards,2005,The Memory Keeper's Daughter,The Memory Keeper's Daughter,eng,3.64,501430,510582,18027
112,15507958,15507958,17763198,168,670026603,9780670026610,Jojo Moyes,2012,Me Before You,"Me Before You (Me Before You, #1)",eng,4.27,587647,741133,71412
113,168668,168668,814330,251,684833395,9780684833390,Joseph Heller,1961,Catch-22,Catch-22,en-US,3.98,563265,582515,13734
114,6900,6900,1995335,172,751529818,9780751529810,"Mitch Albom, Saulius Dagys",1997,Tuesdays with Morrie,Tuesdays with Morrie,eng,4.06,556518,584397,19272
115,2187,2187,1352495,125,312422156,9780312422160,Jeffrey Eugenides,2002,Middlesex,Middlesex,en-US,3.98,488243,507998,20880
116,24583,24583,41326609,2448,143039563,9780143039560,"Mark Twain, Guy Cardwell, John Seelye",1876,The Adventures of Tom Sawyer,The Adventures of Tom Sawyer,eng,3.89,555359,594226,7165
117,18131,18131,948387,165,440498058,9780440498060,Madeleine L'Engle,1962,A Wrinkle in Time,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",en-US,4.04,615907,650094,19413
118,7763,7763,1955658,126,143038095,9780143038090,Amy Tan,1989,The Joy Luck Club,The Joy Luck Club,eng,3.9,515090,525243,6708
119,38447,38447,1119185,236,038549081X,9780385490820,Margaret Atwood,1985,The Handmaid's Tale,The Handmaid's Tale,eng,4.06,607889,683564,35925
120,452306,452306,1058370,93,385729332,9780385729340,Ann Brashares,2001,The Sisterhood of the Traveling Pants,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",eng,3.75,525706,536604,6477
121,7604,7604,1268631,370,,,"Vladimir Nabokov, Craig Raine",1955,Lolita,Lolita,eng,3.88,469836,517990,18107
122,37442,37442,1479280,80,60987103,9780060987110,"Gregory Maguire, Douglas Smith",1995,Wicked: The Life and Times of the Wicked Witch of the West,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",eng,3.52,506900,525498,22926
123,5358,5358,38270,11,582418275,9780582418270,John Grisham,1991,The Firm,"The Firm (Penguin Readers, Level 5)",eng,3.99,488269,488355,3139
124,7937843,7937843,9585076,151,316098337,9780316098340,Emma Donoghue,2010,Room,Room,eng,4.03,511360,556327,42254
125,1420,1420,1885548,1929,521618746,9780521618750,"William Shakespeare, Richard Andrews, Rex Gibson",1600,"The Tragicall Historie of Hamlet, Prince of Denmark",Hamlet,eng,4,515820,576894,8889
126,234225,234225,3634639,241,340839937,9780340839940,Frank Herbert,1965,Dune,Dune (Dune Chronicles #1),eng,4.19,485032,525976,13239
127,2612,2612,2124255,100,316346624,9780316346630,Malcolm Gladwell,2000,The Tipping Point: How Little Things Can Make a Big Difference,The Tipping Point: How Little Things Can Make a Big Difference,eng,3.92,490504,499066,10895
128,11084145,11084145,16005831,190,1451648537,9781451648540,Walter Isaacson,2011,Steve Jobs,Steve Jobs,eng,4.09,560715,579256,15198
129,332613,332613,2100252,275,451163966,9780451163970,Ken Kesey,1962,One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,eng,4.18,491642,514458,7855
130,2165,2165,69741,666,684830493,9780684830490,Ernest Hemingway,1952,The Old Man and the Sea,The Old Man and the Sea,eng,3.73,520630,574328,16716
131,4395,18114322,2931549,381,142000663,9780142000660,John Steinbeck,1939,The Grapes of Wrath,The Grapes of Wrath,eng,3.92,322321,553352,12991
132,3431,3431,2561472,123,1401308589,9781401308580,Mitch Albom,2003,The Five People You Meet in Heaven,The Five People You Meet in Heaven,,3.9,449501,474699,16682
133,8127,8127,3464264,1314,451528824,9780451528830,L.M. Montgomery,1908,Anne of Green Gables,"Anne of Green Gables (Anne of Green Gables, #1)",eng,4.23,502247,533352,14041
134,3777732,3777732,3443248,122,1416914307,9781416914300,Cassandra Clare,2009,City of Glass,"City of Glass (The Mortal Instruments, #3)",en-US,4.34,593173,630560,22736
135,62291,62291,1164465,175,055357342X,9780553573430,George R.R. Martin,2000,A Storm of Swords,"A Storm of Swords (A Song of Ice and Fire, #3)",eng,4.54,469022,527644,19497
136,137791,137791,1010054,75,006075995X,9780060759960,Rebecca Wells,1996,Divine Secrets of the Ya-Ya Sisterhood,Divine Secrets of the Ya-Ya Sisterhood,en-US,3.79,465676,470508,3867
137,10964,10964,2489796,189,440242940,9780440242950,Diana Gabaldon,1991,Outlander,"Outlander (Outlander, #1)",eng,4.2,515547,578842,36707
138,12296,12296,4925227,1579,142437263,9780142437260,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850,The Scarlet Letter,The Scarlet Letter,eng,3.37,509883,559246,11428
139,9460487,9460487,14345371,155,1594744769,9781594744760,Ransom Riggs,2011,Miss Peregrine’s Home for Peculiar Children,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",en-US,3.89,613674,672222,53569
140,6892870,6892870,12883496,193,030726999X,9780307270000,"Stieg Larsson, Reg Keeland",2007,Luftslottet som sprängdes,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",en-US,4.2,443951,526791,26766
141,18007564,18007564,21825181,148,804139024,9780804139020,Andy Weir,2012,The Martian,The Martian,eng,4.39,423344,529702,61298
142,5043,5043,3359698,255,451207149,9780451207140,Ken Follett,1989,The Pillars of the Earth,"The Pillars of the Earth (The Kingsbridge Series, #1)",eng,4.29,462517,495893,26283
143,18143977,18143977,25491300,139,1476746583,9781476746590,Anthony Doerr,2014,,All the Light We Cannot See,eng,4.31,470001,547827,53413
144,8664353,8664353,12946965,16,1400064163,9781400064170,Laura Hillenbrand,2010,"Unbroken: A World War II Story of Survival, Resilience, and Redemption","Unbroken: A World War II Story of Survival, Resilience, and Redemption",eng,4.4,487775,528552,41572
145,976,976,3135896,180,671027387,9780671027380,Dan Brown,2001,Deception Point,Deception Point,eng,3.67,455610,479733,7798
146,17333223,17333223,24065147,108,316055433,9780316055440,Donna Tartt,2013,The Goldfinch,The Goldfinch,eng,3.87,396756,463847,44631
147,1217100,29844228,2588213,150,1595141715,9781595141710,Jay Asher,2007,Thirteen Reasons Why,Thirteen Reasons Why,eng,4.02,463783,571281,43467
148,2865,2865,3358875,169,452287022,9780452287020,Tracy Chevalier,1999,Girl with a Pearl Earring,Girl with a Pearl Earring,eng,3.85,467577,492177,8011
149,4374400,4374400,4422413,130,525421033,9780525421030,Gayle Forman,2009,If I Stay,"If I Stay (If I Stay, #1)",en-US,3.96,503527,567087,34959
150,4989,4989,1041558,80,312353766,9780312353770,Anita Diamant,1997,The Red Tent,The Red Tent,en-US,4.16,424981,449217,17234
151,28186,28186,43554,121,786856866,9780786856860,Rick Riordan,2006,The Sea of Monsters,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",eng,4.23,514932,550512,20097
152,5526,5526,3222389,111,446528056,9780446528050,Nicholas Sparks,2006,Dear John,Dear John,en-US,4.01,441062,454781,10626
153,1582996,1582996,1575860,125,1416914293,9781416914300,Cassandra Clare,2008,City of Ashes,"City of Ashes (The Mortal Instruments, #2)",eng,4.21,541117,586008,23643
154,8852,8852,1896522,1732,743477103,9780743477110,William Shakespeare,1606,The Tragedy of Macbeth,Macbeth,eng,3.88,496018,524826,7609
155,15241,15241,2963845,453,618346260,9780618346260,J.R.R. Tolkien,1954,The Two Towers,"The Two Towers (The Lord of the Rings, #2)",en-US,4.42,480446,532209,6980
156,42156,42156,1789440,65,031232118X,9780312321180,Emily Giffin,2004,Something Borrowed,"Something Borrowed (Darcy & Rachel, #1)",eng,3.83,403601,435189,11567
157,23772,23772,86934,72,394800168,9780394800160,"Dr. Seuss, לאה נאור",1960,Green Eggs and Ham,Green Eggs and Ham,en-US,4.29,457475,461041,7370
158,6310,6310,2765786,338,142403881,9780142403880,"Roald Dahl, Quentin Blake",1964,Charlie and the Chocolate Factory,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",eng,4.1,453959,494747,8473
159,2120932,2120932,2377629,92,1423101464,9781423101470,Rick Riordan,2008,The Battle of the Labyrinth,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",eng,4.39,508214,537708,14098
160,2623,2623,2612809,1725,192833596,9780192833590,Charles Dickens,1860,Great Expectations,Great Expectations,eng,3.75,459247,507187,12311
161,18512,18512,2964424,470,345339738,9780345339740,J.R.R. Tolkien,1955,The Return of the King,"The Return of the King (The Lord of the Rings, #3)",en-US,4.51,463959,510537,6644
162,49552,49552,3324344,675,,,"Albert Camus, Matthew    Ward",1942,L’Étranger,The Stranger,eng,3.96,420600,483623,14836
163,7736182,7736182,10107891,72,142311339X,9781423113390,Rick Riordan,2010,The Lost Hero,"The Lost Hero (The Heroes of Olympus, #1)",eng,4.35,271576,489495,17107
164,15745753,15745753,17225055,103,1250012570,9781250012580,Rainbow Rowell,2013,Eleanor & Park,Eleanor & Park,eng,4.11,514312,579753,53005
165,13497,13497,1019062,176,055358202X,9780553582020,George R.R. Martin,2005,A Feast for Crows,"A Feast for Crows (A Song of Ice and Fire, #4)",en-US,4.1,428186,481130,18876
166,7735333,7735333,9631645,84,525423648,9780525423640,Ally Condie,2010,Matched,"Matched (Matched, #1)",eng,3.68,511815,530680,30226
