id,isbn,isbn13,authors,original_publication_year,original_title,title,language_code
54,345391802,9780350000000,Douglas Adams,1979,The Hitchhiker's Guide to the Galaxy,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",en-US
55,60929871,9780060000000,Aldous Huxley,1932,Brave New World,Brave New World,eng
56,031606792X,9780320000000,Stephenie Meyer,2008,Breaking Dawn,"Breaking Dawn (Twilight, #4)",en-US
57,142001740,9780140000000,Sue Monk Kidd,2001,The Secret Life of Bees,The Secret Life of Bees,en-US
58,142437174,9780140000000,"Mark Twain, John Seelye, Guy Cardwell",1884,The Adventures of Huckleberry Finn,The Adventures of Huckleberry Finn,eng
59,64410935,9780060000000,"E.B. White, Garth Williams, Rosemary Wells",1952,Charlotte's Web,Charlotte's Web,eng
60,1400032717,9781400000000,Mark Haddon,2003,The Curious Incident of the Dog in the Night-Time,The Curious Incident of the Dog in the Night-Time,eng
61,1594633665,9781590000000,Paula Hawkins,2015,The Girl on the Train,The Girl on the Train,eng
62,679879242,9780680000000,Philip Pullman,1995,Northern Lights,"The Golden Compass (His Dark Materials, #1)",eng
63,393978893,9780390000000,"Emily Brontë, Richard J. Dunn",1847,Wuthering Heights,Wuthering Heights,eng
64,743454537,9780740000000,Jodi Picoult,2004,My Sister's Keeper,My Sister's Keeper,eng
65,385333846,9780390000000,Kurt Vonnegut Jr.,1969,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",Slaughterhouse-Five,eng
66,446675539,9780450000000,Margaret Mitchell,1936,Gone with the Wind,Gone with the Wind,eng
67,1594489505,9781590000000,Khaled Hosseini,2007,A Thousand Splendid Suns,A Thousand Splendid Suns,eng
68,671027344,9780670000000,Stephen Chbosky,1999,The Perks of Being a Wallflower,The Perks of Being a Wallflower,eng
69,7442912,9780010000000,Veronica Roth,2012,Insurgent,"Insurgent (Divergent, #2)",eng
70,812550706,9780810000000,Orson Scott Card,1985,Ender's Game,"Ender's Game (Ender's Saga, #1)",eng
71,141439475,9780140000000,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818,"Frankenstein; or, The Modern Prometheus",Frankenstein,eng
72,450040186,9780450000000,Stephen King,1977,The Shining,The Shining (The Shining #1),eng
73,316068047,9780320000000,Stephenie Meyer,2008,The Host,"The Host (The Host, #1)",en-US
74,142402516,9780140000000,John Green,2005,Looking for Alaska,Looking for Alaska,eng
75,014028009X,9780140000000,Helen Fielding,1996,,"Bridget Jones's Diary (Bridget Jones, #1)",eng
76,141439661,9780140000000,"Jane Austen, Tony Tanner, Ros Ballaster",1811,Sense and Sensibility,Sense and Sensibility,eng
77,439244196,9780440000000,"Louis Sachar, Louis Sachar",1998,Holes,"Holes (Holes, #1)",eng
78,307275558,9780310000000,Lauren Weisberger,2003,The Devil Wears Prada,"The Devil Wears Prada (The Devil Wears Prada, #1)",eng
79,143039954,9780140000000,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720,Ὀδύσσεια,The Odyssey,eng
80,156012197,9780160000000,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946,Le Petit Prince,The Little Prince,eng
81,074324754X,9780740000000,Jeannette Walls,2005,The Glass Castle,The Glass Castle,eng
82,385486804,9780390000000,Jon Krakauer,1996,Into the Wild,Into the Wild,eng
83,141439602,9780140000000,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859,A Tale of Two Cities,A Tale of Two Cities,eng
84,030734813X,9780310000000,Michael Crichton,1990,Jurassic Park,"Jurassic Park (Jurassic Park, #1)",spa
85,60256656,9780060000000,Shel Silverstein,1964,The Giving Tree,The Giving Tree,eng
86,385338600,9780390000000,John Grisham,1989,A Time to Kill,A Time to Kill,eng
87,374500010,9780370000000,"Elie Wiesel, Marion Wiesel",1958,Un di Velt Hot Geshvign,Night (The Night Trilogy #1),eng
88,014241493X,9780140000000,John Green,2008,Paper Towns,Paper Towns,en-US
89,345418263,9780350000000,William Goldman,1973,The Princess Bride,The Princess Bride ,en-US
90,014038572X,9780140000000,S.E. Hinton,1967,The Outsiders,The Outsiders,en-US
91,385737947,9780390000000,James Dashner,2009,The Maze Runner,"The Maze Runner (Maze Runner, #1)",eng
92,61234001,9780060000000,"Steven D. Levitt, Stephen J. Dubner",2005,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",en-US
93,517189607,9780520000000,Frances Hodgson Burnett,1911,The Secret Garden,The Secret Garden,eng
94,60531045,9780060000000,"Gabriel García Márquez, Gregory Rabassa",1967,Cien años de soledad,One Hundred Years of Solitude,eng
95,375751513,9780380000000,"Oscar Wilde, Jeffrey Eugenides",1891,The Picture of Dorian Gray,The Picture of Dorian Gray,eng
96,345803507,9780350000000,E.L. James,2012,Fifty Shades Freed,"Fifty Shades Freed (Fifty Shades, #3)",eng
97,393970124,9780390000000,"Bram Stoker, Nina Auerbach, David J. Skal",1897,Dracula,Dracula,eng
98,307269981,9780310000000,"Stieg Larsson, Reg Keeland",2006,Flickan som lekte med elden,"The Girl Who Played with Fire (Millennium, #2)",eng
99,1612130585,9781610000000,E.L. James,2011,Fifty Shades Darker,"Fifty Shades Darker (Fifty Shades, #2)",eng
100,60786507,9780060000000,Barbara Kingsolver,1998,The Poisonwood Bible,The Poisonwood Bible,eng
101,349113912,9780350000000,David Sedaris,2000,Me Talk Pretty One Day,Me Talk Pretty One Day,eng
102,99408392,9780100000000,Maurice Sendak,1963,Where the Wild Things Are,Where the Wild Things Are,eng
103,140449264,9780140000000,"Alexandre Dumas, Robin Buss",1844,Le Comte de Monte-Cristo,The Count of Monte Cristo,eng
104,307265439,9780310000000,Cormac McCarthy,2006,The Road,The Road,eng
105,7524277,9780010000000,Veronica Roth,2013,Allegiant,"Allegiant (Divergent, #3)",eng
106,,,Tina Fey,2011,Bossypants,Bossypants,eng
107,446693804,9780450000000,Nicholas Sparks,1999,A Walk to Remember,A Walk to Remember,en-US
108,440241413,9780440000000,Sophie Kinsella,2000,Confessions of a Shopaholic,"Confessions of a Shopaholic (Shopaholic, #1)",eng
109,451525264,9780450000000,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862,Les Misérables,Les Misérables,eng
110,553381695,9780550000000,George R.R. Martin,1998,A Clash of Kings,"A Clash of Kings  (A Song of Ice and Fire, #2)",eng
111,143037145,9780140000000,Kim Edwards,2005,The Memory Keeper's Daughter,The Memory Keeper's Daughter,eng
112,670026603,9780670000000,Jojo Moyes,2012,Me Before You,"Me Before You (Me Before You, #1)",eng
113,684833395,9780680000000,Joseph Heller,1961,Catch-22,Catch-22,en-US
114,751529818,9780750000000,"Mitch Albom, Saulius Dagys",1997,Tuesdays with Morrie,Tuesdays with Morrie,eng
115,312422156,9780310000000,Jeffrey Eugenides,2002,Middlesex,Middlesex,en-US
116,143039563,9780140000000,"Mark Twain, Guy Cardwell, John Seelye",1876,The Adventures of Tom Sawyer,The Adventures of Tom Sawyer,eng
117,440498058,9780440000000,Madeleine L'Engle,1962,A Wrinkle in Time,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",en-US
118,143038095,9780140000000,Amy Tan,1989,The Joy Luck Club,The Joy Luck Club,eng
119,038549081X,9780390000000,Margaret Atwood,1985,The Handmaid's Tale,The Handmaid's Tale,eng
120,385729332,9780390000000,Ann Brashares,2001,The Sisterhood of the Traveling Pants,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",eng
121,,,"Vladimir Nabokov, Craig Raine",1955,Lolita,Lolita,eng
122,60987103,9780060000000,"Gregory Maguire, Douglas Smith",1995,Wicked: The Life and Times of the Wicked Witch of the West,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",eng
123,582418275,9780580000000,John Grisham,1991,The Firm,"The Firm (Penguin Readers, Level 5)",eng
124,316098337,9780320000000,Emma Donoghue,2010,Room,Room,eng
125,521618746,9780520000000,"William Shakespeare, Richard Andrews, Rex Gibson",1600,"The Tragicall Historie of Hamlet, Prince of Denmark",Hamlet,eng
126,340839937,9780340000000,Frank Herbert,1965,Dune,Dune (Dune Chronicles #1),eng
127,316346624,9780320000000,Malcolm Gladwell,2000,The Tipping Point: How Little Things Can Make a Big Difference,The Tipping Point: How Little Things Can Make a Big Difference,eng
128,1451648537,9781450000000,Walter Isaacson,2011,Steve Jobs,Steve Jobs,eng
129,451163966,9780450000000,Ken Kesey,1962,One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,eng
130,684830493,9780680000000,Ernest Hemingway,1952,The Old Man and the Sea,The Old Man and the Sea,eng
131,142000663,9780140000000,John Steinbeck,1939,The Grapes of Wrath,The Grapes of Wrath,eng
132,1401308589,9781400000000,Mitch Albom,2003,The Five People You Meet in Heaven,The Five People You Meet in Heaven,
133,451528824,9780450000000,L.M. Montgomery,1908,Anne of Green Gables,"Anne of Green Gables (Anne of Green Gables, #1)",eng
134,1416914307,9781420000000,Cassandra Clare,2009,City of Glass,"City of Glass (The Mortal Instruments, #3)",en-US
135,055357342X,9780550000000,George R.R. Martin,2000,A Storm of Swords,"A Storm of Swords (A Song of Ice and Fire, #3)",eng
136,006075995X,9780060000000,Rebecca Wells,1996,Divine Secrets of the Ya-Ya Sisterhood,Divine Secrets of the Ya-Ya Sisterhood,en-US
137,440242940,9780440000000,Diana Gabaldon,1991,Outlander,"Outlander (Outlander, #1)",eng
138,142437263,9780140000000,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850,The Scarlet Letter,The Scarlet Letter,eng
139,1594744769,9781590000000,Ransom Riggs,2011,Miss Peregrine’s Home for Peculiar Children,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",en-US
140,030726999X,9780310000000,"Stieg Larsson, Reg Keeland",2007,Luftslottet som sprängdes,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",en-US
141,804139024,9780800000000,Andy Weir,2012,The Martian,The Martian,eng
142,451207149,9780450000000,Ken Follett,1989,The Pillars of the Earth,"The Pillars of the Earth (The Kingsbridge Series, #1)",eng
143,1476746583,9781480000000,Anthony Doerr,2014,,All the Light We Cannot See,eng
144,1400064163,9781400000000,Laura Hillenbrand,2010,"Unbroken: A World War II Story of Survival, Resilience, and Redemption","Unbroken: A World War II Story of Survival, Resilience, and Redemption",eng
145,671027387,9780670000000,Dan Brown,2001,Deception Point,Deception Point,eng
146,316055433,9780320000000,Donna Tartt,2013,The Goldfinch,The Goldfinch,eng
147,1595141715,9781600000000,Jay Asher,2007,Thirteen Reasons Why,Thirteen Reasons Why,eng
148,452287022,9780450000000,Tracy Chevalier,1999,Girl with a Pearl Earring,Girl with a Pearl Earring,eng
149,525421033,9780530000000,Gayle Forman,2009,If I Stay,"If I Stay (If I Stay, #1)",en-US
150,312353766,9780310000000,Anita Diamant,1997,The Red Tent,The Red Tent,en-US
151,786856866,9780790000000,Rick Riordan,2006,The Sea of Monsters,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",eng
152,446528056,9780450000000,Nicholas Sparks,2006,Dear John,Dear John,en-US
153,1416914293,9781420000000,Cassandra Clare,2008,City of Ashes,"City of Ashes (The Mortal Instruments, #2)",eng
154,743477103,9780740000000,William Shakespeare,1606,The Tragedy of Macbeth,Macbeth,eng
155,618346260,9780620000000,J.R.R. Tolkien,1954,The Two Towers,"The Two Towers (The Lord of the Rings, #2)",en-US
156,031232118X,9780310000000,Emily Giffin,2004,Something Borrowed,"Something Borrowed (Darcy & Rachel, #1)",eng
157,394800168,9780390000000,"Dr. Seuss, לאה נאור",1960,Green Eggs and Ham,Green Eggs and Ham,en-US
158,142403881,9780140000000,"Roald Dahl, Quentin Blake",1964,Charlie and the Chocolate Factory,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",eng
159,1423101464,9781420000000,Rick Riordan,2008,The Battle of the Labyrinth,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",eng
160,192833596,9780190000000,Charles Dickens,1860,Great Expectations,Great Expectations,eng
161,345339738,9780350000000,J.R.R. Tolkien,1955,The Return of the King,"The Return of the King (The Lord of the Rings, #3)",en-US
162,,,"Albert Camus, Matthew    Ward",1942,L’Étranger,The Stranger,eng
163,142311339X,9781420000000,Rick Riordan,2010,The Lost Hero,"The Lost Hero (The Heroes of Olympus, #1)",eng
164,1250012570,9781250000000,Rainbow Rowell,2013,Eleanor & Park,Eleanor & Park,eng
165,055358202X,9780550000000,George R.R. Martin,2005,A Feast for Crows,"A Feast for Crows (A Song of Ice and Fire, #4)",en-US
166,525423648,9780530000000,Ally Condie,2010,Matched,"Matched (Matched, #1)",eng
167,747263744,9780750000000,Neil Gaiman,2001,American Gods,"American Gods (American Gods, #1)",eng
168,385199570,9780390000000,"Stephen King, Bernie Wrightson",1978,The Stand,The Stand,en-US
169,446547565,9780450000000,Nicholas Sparks,2008,The Last Song,The Last Song,en-GB
170,552151696,9780550000000,Dan Brown,1998,Digital Fortress,Digital Fortress,en-GB
171,141439580,9780140000000,"Jane Austen, Fiona Stafford",1815,Emma,Emma,eng
172,345803922,9780350000000,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",1877,Анна Каренина,Anna Karenina,eng
173,393312836,9780390000000,Anthony Burgess,1962,A Clockwork Orange,A Clockwork Orange,eng
174,964729237,9780960000000,William Paul Young,2007,The Shack: Where Tragedy Confronts Eternity,The Shack,eng
175,739380338,9780740000000,Rick Riordan,2009,The Last Olympian,"The Last Olympian (Percy Jackson and the Olympians, #5)",eng
176,451169514,9780450000000,Stephen King,1986,It,It,en-US
177,143058142,9780140000000,"Fyodor Dostoyevsky, David McDuff",1866,Преступление и наказание,Crime and Punishment,eng
178,61148512,9780060000000,Sylvia Plath,1963,The Bell Jar,The Bell Jar,en-US
179,7205236,9780010000000,Frank McCourt,1996,Angela's Ashes: A Memoir,"Angela's Ashes (Frank McCourt, #1)",eng
180,553208845,9780550000000,"Hermann Hesse, Hilda Rosner",1922,Siddhartha,Siddhartha,eng
181,679745580,9780680000000,Truman Capote,1965,In Cold Blood,In Cold Blood,eng
182,316042676,9780320000000,"Kami Garcia, Margaret Stohl",2009,Beautiful Creatures,"Beautiful Creatures (Caster Chronicles, #1)",eng
183,1416975861,9781420000000,Cassandra Clare,2010,Clockwork Angel,"Clockwork Angel (The Infernal Devices, #1)",eng
184,141301066,9780140000000,"Roald Dahl, Quentin Blake",1988,Matilda,Matilda,eng
185,385534639,9780390000000,Erin Morgenstern,2011,The Night Circus,The Night Circus,eng
186,743227441,9780740000000,Philippa Gregory,2001,The Other Boleyn Girl,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",eng
187,689865384,9780690000000,Scott Westerfeld,2005,Uglies,"Uglies (Uglies, #1)",eng
188,,,George R.R. Martin,2011,A Dance with Dragons,"A Dance with Dragons (A Song of Ice and Fire, #5)",eng
189,618640150,9780620000000,J.R.R. Tolkien,1955,The Lord of the Rings,"The Lord of the Rings (The Lord of the Rings, #1-3)",eng
190,307592731,9780310000000,Cheryl Strayed,2012,Wild: From Lost to Found on the Pacific Crest Trail ,Wild: From Lost to Found on the Pacific Crest Trail,eng
191,930289234,9780930000000,"Alan Moore, Dave Gibbons, John Higgins",1987,Watchmen,Watchmen,en-US
192,075640407X,9780760000000,Patrick Rothfuss,2007,The Name of the Wind,"The Name of the Wind (The Kingkiller Chronicle, #1)",eng
193,316017922,9780320000000,Malcolm Gladwell,2008,Outliers: The Story of Success,Outliers: The Story of Success,en-US
194,142437247,9780140000000,"Herman Melville, Andrew Delbanco, Tom Quirk",1851,"Moby Dick; or, The Whale","Moby-Dick or, The Whale",eng
195,385340990,9780390000000,"Mary Ann Shaffer, Annie Barrows",2008,The Guernsey Literary and Potato Peel Pie Society,The Guernsey Literary and Potato Peel Pie Society,eng
196,393327345,9780390000000,Chuck Palahniuk,1996,Fight Club,Fight Club,eng
197,441008534,9780440000000,Charlaine Harris,2001,Dead Until Dark,"Dead Until Dark (Sookie Stackhouse, #1)",en-US
198,671727796,9780670000000,Alice Walker,1982,The Color Purple,The Color Purple,eng
199,739461192,9780740000000,John Grogan,2005,Marley & Me: Life and Love with the World's Worst Dog,Marley and Me: Life and Love With the World's Worst Dog,eng
200,312330871,9780310000000,Agatha Christie,1939,Ten Little Niggers,And Then There Were None,eng
201,385504225,9780390000000,Dan Brown,2009,The Lost Symbol,"The Lost Symbol (Robert Langdon, #3)",eng
202,1416989412,9781420000000,Becca Fitzpatrick,2009,"Hush, Hush","Hush, Hush (Hush, Hush, #1)",en-US
203,,,Jamie McGuire,2011,Beautiful Disaster,"Beautiful Disaster (Beautiful, #1)",eng
204,1561797464,9781560000000,Charles Dickens,1843,A Christmas Carol,A Christmas Carol,
205,345476875,9780350000000,Anne Rice,1976,Interview with the Vampire,"Interview with the Vampire (The Vampire Chronicles, #1)",eng
206,62059939,9780060000000,Kiera Cass,2012,The Selection,"The Selection (The Selection, #1)",en-US
207,312362080,9780310000000,Janet Evanovich,1994,One for the Money,"One for the Money (Stephanie Plum, #1)",en-US
208,1400052173,9781400000000,Rebecca Skloot,2010,The Immortal Life of Henrietta Lacks,The Immortal Life of Henrietta Lacks,eng
209,99446782,9780100000000,Thomas Harris,1988,The Silence of the Lambs,"The Silence of the Lambs  (Hannibal Lecter, #2)",eng
210,159514174X,9781600000000,Richelle Mead,2007,,"Vampire Academy (Vampire Academy, #1)",en-US
211,316010669,9780320000000,Malcolm Gladwell,2005,Blink: The Power of Thinking Without Thinking,Blink: The Power of Thinking Without Thinking,en-US
212,038572179X,9780390000000,Ian McEwan,2001,Atonement,Atonement,eng
213,553213695,9780550000000,"Franz Kafka, Stanley Corngold",1915,Die Verwandlung,The Metamorphosis,eng
214,141382899,9780140000000,Rick Riordan,2007,The Titan's Curse,"The Titan's Curse (Percy Jackson and the Olympians, #3)",eng
215,030788743X,9780310000000,Ernest Cline,2011,,Ready Player One,eng
216,1554681723,9781550000000,Garth Stein,2006,The Art of Racing in the Rain,The Art of Racing in the Rain,eng
217,739303406,9780740000000,"Erik Larson, Tony Goldwyn",2003,"The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America","The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",eng
218,425263908,9780430000000,Sylvia Day,2012,Bared to You,"Bared to You (Crossfire, #1)",eng
219,66238501,9780070000000,"C.S. Lewis, Pauline Baynes",1956,The Chronicles of Narnia,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",eng
220,316043133,9780320000000,Mark Cotta Vaz,,Twilight: The Complete Illustrated Movie Companion,Twilight: The Complete Illustrated Movie Companion,en-US
221,1558743669,9781560000000,Dave Pelzer,1995,"A Child Called ""It"": One Child's Courage to Survive","A Child Called ""It"" (Dave Pelzer #1)",eng
222,752864327,9780750000000,Robert Ludlum,1980,The Bourne Identity,"The Bourne Identity (Jason Bourne, #1)",eng
223,786817879,9780790000000,Eoin Colfer,2001,Artemis Fowl,"Artemis Fowl (Artemis Fowl, #1)",eng
224,385738935,9780390000000,Lauren Kate,2009,Fallen,"Fallen (Fallen, #1)",en-US
225,142000655,9780140000000,John Steinbeck,1952,East of Eden  ,East of Eden,eng
226,307341569,9780310000000,Gillian Flynn,2009,Dark Places,Dark Places,eng
227,385339089,9780390000000,John Grisham,1993,The Client,The Client,eng
228,312291639,9780310000000,"Emma McLaughlin, Nicola Kraus",2002,The Nanny Diaries,"The Nanny Diaries (Nanny, #1)",eng
229,451527747,9780450000000,"Lewis Carroll, John Tenniel, Martin Gardner",1865,Alice's Adventures in Wonderland,Alice's Adventures in Wonderland & Through the Looking-Glass,eng
230,192802631,9780190000000,"Jane Austen, James Kinsley, Deidre Shauna Lynch",1817,Persuasion,Persuasion,eng
231,312370830,9780310000000,Tatiana de Rosnay,2007,Elle s'appelait Sarah,Sarah's Key,eng
232,452284694,9780450000000,Stephen King,1982,The Gunslinger,"The Gunslinger (The Dark Tower, #1)",en-US
233,140003468X,9781400000000,"Gabriel García Márquez, Edith Grossman",1985,El amor en los tiempos del cólera,Love in the Time of Cholera,eng
234,014131088X,9780140000000,Laurie Halse Anderson,1999,Speak,Speak,eng
235,399159347,9780400000000,Liane Moriarty,2013,The Husband's Secret ,The Husband's Secret,eng
236,385494785,9780390000000,Jon Krakauer,1997,Into Thin Air: A Personal Account of the Mt. Everest Disaster,Into Thin Air: A Personal Account of the Mount Everest Disaster,en-US
237,1416524304,9781420000000,Stephen King,1974,Carrie,Carrie,
238,031242227X,9780310000000,Augusten Burroughs,2002,Running with Scissors,Running with Scissors,en-US
239,307346609,9780310000000,Max Brooks,2006,World War Z: An Oral History of the Zombie War,World War Z: An Oral History of the Zombie War,en-US
240,385537859,9780390000000,Dan Brown,2013,Inferno,"Inferno (Robert Langdon, #4)",eng
241,440227534,9780440000000,Lois Lowry,1989,Number the Stars,Number the Stars,eng
242,446692638,9780450000000,James Patterson,1993,Along Came a Spider,"Along Came a Spider (Alex Cross, #1)",eng
243,450417395,9780450000000,Stephen King,1987,Misery,Misery,en-GB
244,307341542,9780310000000,Gillian Flynn,2006,Sharp Objects,Sharp Objects,en-US
245,439366771,9780440000000,Katherine Paterson,1977,Bridge to Terabithia,Bridge to Terabithia,eng
246,312360266,9780310000000,"P.C. Cast, Kristin Cast",2007,Marked,"Marked (House of Night, #1)",en-US
247,743269519,9780740000000,Stephen R. Covey,1989,The 7 Habits of Highly Effective People,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,en-US
